FEDFUNDS,Owner-Occupied-Home-Proportion,30-Year-Mortgage-Rate,Consumer-Price-Index,Year,Month,Quarter,Region,Home Size,Average Sales Price,Number of Households (Thousands),Median Income - Current Dollars,Median Income - 2022 Dollars,Mean Income - Current Dollars,Mean Income - 2022 Dollars,Year-Quarter-Month
0.08,64.9,4.3425,236.028,2014,March,Q1,South,Double,82100.0,47040.0,49660.0,60060.0,70990.0,85870.0,2014-Q1-March
0.08,64.9,4.3425,236.028,2014,March,Q1,South,Single ,42400.0,47040.0,49660.0,60060.0,70990.0,85870.0,2014-Q1-March
0.08,64.9,4.3425,236.028,2014,March,Q1,South,Total1,63600.0,47040.0,49660.0,60060.0,70990.0,85870.0,2014-Q1-March
0.08,64.9,4.3425,236.028,2014,March,Q1,United States,Double,83900.0,124600.0,53660.0,64900.0,75740.0,91610.0,2014-Q1-March
0.08,64.9,4.3425,236.028,2014,March,Q1,United States,Single ,43200.0,124600.0,53660.0,64900.0,75740.0,91610.0,2014-Q1-March
0.08,64.9,4.3425,236.028,2014,March,Q1,United States,Total1,65700.0,124600.0,53660.0,64900.0,75740.0,91610.0,2014-Q1-March
0.08,64.9,4.3425,236.028,2014,March,Q1,West,Double,90300.0,27910.0,57690.0,69780.0,79610.0,96300.0,2014-Q1-March
0.08,64.9,4.3425,236.028,2014,March,Q1,West,Single ,46700.0,27910.0,57690.0,69780.0,79610.0,96300.0,2014-Q1-March
0.08,64.9,4.3425,236.028,2014,March,Q1,West,Total1,84400.0,27910.0,57690.0,69780.0,79610.0,96300.0,2014-Q1-March
0.09,64.8,4.3375,236.468,2014,April,Q2,Midwest,Double,78500.0,27460.0,54270.0,65640.0,73480.0,88890.0,2014-Q2-April
0.09,64.8,4.3375,236.468,2014,April,Q2,Midwest,Single ,45700.0,27460.0,54270.0,65640.0,73480.0,88890.0,2014-Q2-April
0.09,64.8,4.3375,236.468,2014,April,Q2,Midwest,Total1,59100.0,27460.0,54270.0,65640.0,73480.0,88890.0,2014-Q2-April
0.09,64.8,4.3375,236.468,2014,April,Q2,Northeast,Double,82500.0,22180.0,59210.0,71620.0,83720.0,101300.0,2014-Q2-April
0.09,64.8,4.3375,236.468,2014,April,Q2,Northeast,Single ,44000.0,22180.0,59210.0,71620.0,83720.0,101300.0,2014-Q2-April
0.09,64.8,4.3375,236.468,2014,April,Q2,Northeast,Total1,61300.0,22180.0,59210.0,71620.0,83720.0,101300.0,2014-Q2-April
